# Write
100, 100, 252838.16499996185
100, 1000000, 1220612186.6339998
100, 10, 29504.34500026703
100, 1, 3968.8189992904663
300, 100, 55134.58600234985
300, 100, 72916.02499961853
300, 1000, 188335.93600082397
300, 10000, 1344888.0520000458
300, 100000, 7567441.894001007

# Read
0, 100, 48551.64699995518
0, 0, 6719.250999987125
0, 100, 18062.519999980927
0, 100, 26591.835998535156
0, 100, 18164.22500228882
0, 101, 13904.27799987793
0, 1000, 52213.16799926758
0, 10000, 320464.51399993896
0, 100000, 2340989.005001068
0, 1000000, 45162278.91199875
0, 1000, 52889.887996673584
0, 1000, 67075.84899902344
0, 101, 14689.431999206543
0, 101, 10484.404998779297
0, 200, 122216.21500015259
0, 200, 33983.06200027466
0, 200, 30634.304000854492
0, 1000, 84225.16700363159
0, 200, 12647.65499997139
300, 10, 285735.5639998913
0, 200, 38457.56100010872
0, 1000, 82997.23900008202

# Read and write
300, 1000, 11128846.279000044
0, 100000, 2047340.7869999409
0, 200, 57609.166999816895
0, 200, 95143.65599822998
0, 200, 48019.1429977417
0, 100, 32659.66700029373
0, 200, 43486.84999990463
0, 1000, 96049.87799835205
0, 10, 38144.99900054932
0, 10, 28818.62799835205
0, 1, 20813.792999267578
0, 10, 36220.75
0, 1, 14001.918003082275
0, 1000, 151415.58000183105
0, 1000, 216941.39599990845
0, 1000, 98813.23600006104
0, 1000, 100956.16299819946
0, 100000, 4437718.551998138
